#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene25313	Olfr247	protein_coding
gene25314	Gm10310	protein_coding
gene25315	Olfr820	protein_coding
gene25316	Olfr821	protein_coding
gene25317	Olfr822	protein_coding
gene25319	Olfr823	protein_coding
gene25320	Gm5181	processed_pseudogene
gene25321	Olfr824	protein_coding
gene25323	Olfr825	protein_coding
gene25324	Olfr826	protein_coding
gene25325	Olfr827	protein_coding
gene25326	Neurod4	protein_coding
gene25327	Tespa1	protein_coding
gene25328	Vmn2r84	protein_coding
gene2533	LOC100041708	N/A
gene25330	Vmn2r85	protein_coding
gene25332	Vmn2r86	protein_coding
gene25334	Vmn2r87	protein_coding
gene25335	LOC102638972	N/A
gene25336	LOC102634137	N/A
gene25337	Gm20746	processed_pseudogene
gene25338	Pisd-ps1	transcribed_unprocessed_pseudogene
gene25339	Sfi1	protein_coding
gene2534	LOC102633858	N/A
gene25340	LOC102636923	N/A
gene25341	LOC102636815	N/A
gene25343	Eif4enif1	protein_coding
gene25344	Drg1	protein_coding
gene25345	Patz1	protein_coding
gene25346	Gm11944	processed_transcript
gene25347	Pik3ip1	protein_coding
gene25348	Limk2	protein_coding
gene25349	Rnf185	protein_coding
gene2535	LOC102633786	N/A
gene25350	8430429K09Rik	processed_transcript
gene25351	LOC102637004	N/A
gene25352	Pla2g3	protein_coding
gene25353	Inpp5j	protein_coding
gene25354	Selm	protein_coding
gene25355	Smtn	protein_coding
gene25356	LOC102637250	N/A
gene25357	LOC102637081	N/A
gene25358	LOC102637758	N/A
gene2536	LOC101055663	N/A
gene25360	LOC102631765	N/A
gene25361	Gm11951	processed_pseudogene
gene25362	Tug1	processed_transcript
gene25363	Morc2a	protein_coding
gene25365	LOC102637917	N/A
gene25366	Osbp2	protein_coding
gene25367	LOC102637836	N/A
gene25369	4921536K21Rik	protein_coding
gene2537	LOC546061	N/A
gene25370	Dusp18	protein_coding
gene25371	Slc35e4	protein_coding
gene25372	Tcn2	protein_coding
gene25373	Gm11953	processed_pseudogene
gene25374	Pes1	protein_coding
gene25375	Gal3st1	protein_coding
gene25376	LOC102637981	N/A
gene25377	Sec14l4	protein_coding
gene25378	Sec14l3	protein_coding
gene25379	Mtfp1	protein_coding
gene2538	LOC101055672	N/A
gene25380	Sec14l2	protein_coding
gene25381	Gm11957	processed_pseudogene
gene25382	Rnf215	protein_coding
gene25383	Mir3060	miRNA
gene25384	Ccdc157	protein_coding
gene25385	Sf3a1	protein_coding
gene25386	Tbc1d10a	protein_coding
gene25387	Gatsl3	protein_coding
gene25388	Gm11956	processed_pseudogene
gene25389	Osm	protein_coding
gene2539	LOC102634164	N/A
gene25390	LOC102638222	N/A
gene25391	Lif	protein_coding
gene25392	LOC102638292	N/A
gene25393	LOC102638371	N/A
gene25394	Hormad2	protein_coding
gene25395	LOC102638483	N/A
gene25396	Mtmr3	protein_coding
gene25397	Gm11960	transcribed_processed_pseudogene
gene25398	Gm11961	antisense
gene25399	Ascc2	protein_coding
gene2540	LOC100040974	N/A
gene25400	Uqcr10	protein_coding
gene25401	Zmat5	protein_coding
gene25402	Cabp7	protein_coding
gene25403	LOC102638568	N/A
gene25404	Nf2	protein_coding
gene25406	Nipsnap1	protein_coding
gene25407	Mir6918	miRNA
gene25408	Thoc5	protein_coding
gene25409	AA413626	processed_pseudogene
gene2541	LOC102634585	N/A
gene25410	LOC102638859	N/A
gene25411	Nefh	protein_coding
gene25412	Ap1b1	protein_coding
gene25413	Gas2l1	protein_coding
gene25414	Rasl10a	protein_coding
gene25415	Ewsr1	protein_coding
gene25416	LOC102638937	N/A
gene25417	Rhbdd3	protein_coding
gene25418	Emid1	protein_coding
gene25419	LOC102639055	N/A
gene2542	LOC677525	N/A
gene25421	Kremen1	protein_coding
gene25422	LOC102631980	N/A
gene25423	Znrf3	protein_coding
gene25425	LOC102639290	N/A
gene25426	Xbp1	protein_coding
gene25427	Ccdc117	protein_coding
gene25429	Ankrd36	protein_coding
gene2543	LOC102636767	N/A
gene25430	Gm11964	processed_pseudogene
gene25431	Mrps24	protein_coding
gene25432	Urgcp	protein_coding
gene25433	2210015D19Rik	transcribed_unprocessed_pseudogene
gene25434	Dbnl	protein_coding
gene25435	Pgam2	protein_coding
gene25436	Polm	protein_coding
gene25437	Aebp1	protein_coding
gene25438	Pold2	protein_coding
gene25439	Myl7	protein_coding
gene2544	LOC102636478	N/A
gene25440	Gck	protein_coding
gene25441	LOC102639588	N/A
gene25442	Ykt6	protein_coding
gene25443	Camk2b	protein_coding
gene25444	Nudcd3	protein_coding
gene25445	Rps15a-ps6	processed_pseudogene
gene25446	Npc1l1	protein_coding
gene25447	LOC102639696	N/A
gene25448	Gm11401	processed_pseudogene
gene25449	Ddx56	protein_coding
gene2545	LOC102636370	N/A
gene25450	Tmed4	protein_coding
gene25451	LOC102639927	N/A
gene25452	Ogdh	protein_coding
gene25453	Zmiz2	protein_coding
gene25454	Mir7651	miRNA
gene25455	Ppia	protein_coding
gene25456	H2afv	protein_coding
gene25457	LOC102640218	N/A
gene25458	LOC102640150	N/A
gene25459	LOC102640040	N/A
gene2546	LOC102636300	N/A
gene25460	Purb	protein_coding
gene25461	LOC102640322	N/A
gene25462	Myo1g	protein_coding
gene25463	Gm11974	processed_transcript
gene25464	Ccm2	protein_coding
gene25465	Nacad	protein_coding
gene25466	Tbrg4	protein_coding
gene25467	Snora5c	snoRNA
gene25468	Wap	protein_coding
gene25469	Gm11978	transcribed_processed_pseudogene
gene2547	LOC100503923	N/A
gene25470	Ramp3	protein_coding
gene25471	Gm11980	processed_pseudogene
gene25472	Gm11981	processed_transcript
gene25474	Gm11983	protein_coding
gene25476	Adcy1	protein_coding
gene25477	Gm11985	antisense
gene25478	Igfbp1	protein_coding
gene25479	Igfbp3	protein_coding
gene2548	LOC100041034	N/A
gene25480	LOC102640525	N/A
gene25481	LOC102640637	N/A
gene25482	LOC102640719	N/A
gene25483	Trnad-guc	N/A
gene25484	Tns3	protein_coding
gene25485	LOC102640789	N/A
gene25487	Pkd1l1	protein_coding
gene25488	Hus1	protein_coding
gene25489	Sun3	protein_coding
gene2549	LOC100041057	N/A
gene25490	Gm11992	protein_coding
gene25491	Upp1	protein_coding
gene25492	Gm11993	processed_pseudogene
gene25493	Abca13	protein_coding
gene25495	Gm11996	processed_pseudogene
gene25497	LOC102640861	N/A
gene25498	Vwc2	protein_coding
gene25499	Zpbp	protein_coding
gene255	Gm9458	processed_pseudogene
gene2550	LOC102636558	N/A
gene25500	Gm12598	processed_pseudogene
gene25502	4930415F15Rik	protein_coding
gene25503	LOC102631662	N/A
gene25504	LOC102631513	N/A
gene25505	LOC102631730	N/A
gene25506	LOC102631840	N/A
gene25507	Ikzf1	protein_coding
gene25508	LOC102631906	N/A
gene25509	Fignl1	protein_coding
gene2551	LOC671917	N/A
gene25510	Ddc	protein_coding
gene25511	1700042O10Rik	antisense
gene25512	Grb10	protein_coding
gene25513	LOC102631979	N/A
gene25514	LOC102632318	N/A
gene25515	LOC102632252	N/A
gene25516	LOC102632397	N/A
gene25517	LOC102632478	N/A
gene25518	Cobl	protein_coding
gene25519	Gm12002	antisense
gene2552	LOC100041903	N/A
gene25520	LOC102632551	N/A
gene25521	LOC102632319	N/A
gene25524	LOC102632787	N/A
gene25525	1700046C09Rik	lincRNA
gene25526	Pom121l12	processed_pseudogene
gene25528	LOC102632442	N/A
gene2553	LOC100041877	N/A
gene25531	LOC102632862	N/A
gene25532	Gm12011	processed_pseudogene
gene25533	Vstm2a	protein_coding
gene25534	Gm12012	processed_pseudogene
gene25535	Sec61g	protein_coding
gene25536	Akt2-ps	processed_pseudogene
gene25537	Ublcp1	protein_coding
gene25538	Gm12664	processed_pseudogene
gene25539	Egfr	protein_coding
gene2554	LOC102637495	N/A
gene25540	2810442I21Rik	N/A
gene25541	Fbxo48	protein_coding
gene25542	Plek	protein_coding
gene25544	Cnrip1	protein_coding
gene25545	LOC102633332	N/A
gene25546	Ppp3r1	protein_coding
gene25547	Pno1	protein_coding
gene25548	Wdr92	protein_coding
gene25549	C1d	protein_coding
gene2555	LOC102638047	N/A
gene25551	LOC102633444	N/A
gene25553	Etaa1	protein_coding
gene25554	LOC102633673	N/A
gene25555	Gm12017	processed_pseudogene
gene25556	LOC102633755	N/A
gene25557	4932416E17	N/A
gene25558	Gm12019	processed_pseudogene
gene2556	LOC102637781	N/A
gene25560	LOC102633911	N/A
gene25563	LOC102633981	N/A
gene25564	8430419K02Rik	processed_transcript
gene25565	Meis1	protein_coding
gene25566	LOC101055656	N/A
gene25567	4933406G16Rik	lincRNA
gene25568	Gm12026	processed_pseudogene
gene2557	LOC664787	N/A
gene25570	LOC100862374	N/A
gene25571	Spred2	protein_coding
gene25572	LOC102634519	N/A
gene25573	Actr2	protein_coding
gene25574	Rab1	protein_coding
gene25575	Cep68	protein_coding
gene25577	Slc1a4	protein_coding
gene25578	Gm12033	processed_pseudogene
gene25579	Gm12034	processed_pseudogene
gene2558	LOC100038987	N/A
gene25580	LOC102634601	N/A
gene25581	Sertad2	protein_coding
gene25583	Aftph	protein_coding
gene25584	LOC102634684	N/A
gene25585	Lgalsl	protein_coding
gene25586	LOC102634792	N/A
gene25587	Peli1	protein_coding
gene25588	LOC102632788	N/A
gene2559	LOC102633783	N/A
gene25590	Vps54	protein_coding
gene25592	Ugp2	protein_coding
gene25593	Mir1933	miRNA
gene25596	Gm12046	processed_pseudogene
gene25597	4932414J04Rik	lincRNA
gene25598	Mdh1	protein_coding
gene25599	Wdpcp	protein_coding
gene2560	LOC102634581	N/A
gene25600	Pgam1-ps1	processed_pseudogene
gene25603	Gm7906	N/A
gene25604	Otx1	protein_coding
gene25605	LOC102635094	N/A
gene25606	Ehbp1	protein_coding
gene25607	LOC102635211	N/A
gene2561	LOC102633656	N/A
gene25610	Tmem17	protein_coding
gene25611	Gm12052	lincRNA
gene25612	LOC102635510	N/A
gene25614	Gm12058	processed_pseudogene
gene25615	B3gnt2	protein_coding
gene25616	LOC102635645	N/A
gene25617	Commd1	protein_coding
gene25618	Zrsr1	protein_coding
gene25619	Cct4	protein_coding
gene2562	LOC102633548	N/A
gene25620	Fam161a	protein_coding
gene25621	Gm12059	processed_transcript
gene25622	1700061J23Rik	lincRNA
gene25623	Xpo1	protein_coding
gene25624	Usp34	protein_coding
gene25625	Ahsa2	protein_coding
gene25626	1700030C12Rik	processed_transcript
gene25627	1700093K21Rik	protein_coding
gene25628	LOC102633012	N/A
gene25629	Gm12060	processed_transcript
gene2563	Csprs	protein_coding
gene25630	0610010F05Rik	protein_coding
gene25631	Pex13	protein_coding
gene25632	Pus10	protein_coding
gene25633	Rel	protein_coding
gene25634	Papolg	protein_coding
gene25635	LOC102636054	N/A
gene25636	Bcl11a	protein_coding
gene25637	LOC102636133	N/A
gene25638	LOC102636347	N/A
gene25639	LOC102636265	N/A
gene2564	LOC102633472	N/A
gene25640	4933430M04Rik	lincRNA
gene25642	Gm10466	lincRNA
gene25643	LOC102636777	N/A
gene25644	LOC102637005	N/A
gene25645	4933427E13Rik	lincRNA
gene25646	5730522E02Rik	protein_coding
gene25647	Mir6372	miRNA
gene25648	LOC102633116	N/A
gene2565	LOC100039029	N/A
gene25650	Fancl	protein_coding
gene25651	Vrk2	protein_coding
gene25652	Gm6899	protein_coding
gene25654	Gm12070	processed_pseudogene
gene25656	Gm3810	processed_pseudogene
gene25658	Gm6685	protein_coding
gene25659	Ccdc85a	protein_coding
gene2566	Fam171a1	protein_coding
gene25660	LOC102637202	N/A
gene25661	2810471M01Rik	lincRNA
gene25662	LOC102637282	N/A
gene25663	Mir216b	miRNA
gene25664	Mir216c	N/A
gene25665	Mir216a	miRNA
gene25666	Mir217	miRNA
gene25667	LOC102637350	N/A
gene25668	Efemp1	protein_coding
gene2567	Nmt2	protein_coding
gene25670	Pnpt1	protein_coding
gene25671	Smek2	protein_coding
gene25672	Ccdc104	N/A
gene25674	LOC102633246	N/A
gene25675	Ccdc88a	protein_coding
gene25676	LOC102637424	N/A
gene25677	Prorsd1	protein_coding
gene25678	Mtif2	protein_coding
gene25679	Rps27a	protein_coding
gene2568	Rpp38	protein_coding
gene25680	1700034F02Rik	N/A
gene25681	LOC102633366	N/A
gene25682	Gm12091	processed_pseudogene
gene25683	LOC102637613	N/A
gene25685	Rtn4	protein_coding
gene25686	Eml6	protein_coding
gene25687	4931440F15Rik	protein_coding
gene25688	Sptbn1	protein_coding
gene25689	LOC102637950	N/A
gene2569	Acbd7	protein_coding
gene25690	LOC102637837	N/A
gene25692	LOC102638027	N/A
gene25693	4930505A04Rik	protein_coding
gene25694	Acyp2	protein_coding
gene25699	Gm12100	processed_transcript
gene257	LOC102634159	N/A
gene2570	Olah	protein_coding
gene25700	Psme4	protein_coding
gene25701	LOC102638258	N/A
gene25702	Gpr75	protein_coding
gene25704	Erlec1	protein_coding
gene25705	Asb3	protein_coding
gene25706	Chac2	protein_coding
gene25708	LOC102638372	N/A
gene25709	Stc2	protein_coding
gene2571	Meig1	protein_coding
gene25710	LOC102638447	N/A
gene25711	LOC102638519	N/A
gene25712	Bod1	protein_coding
gene25713	LOC102638605	N/A
gene25714	D630024D03Rik	lincRNA
gene25715	LOC102638676	N/A
gene25716	Cpeb4	protein_coding
gene25719	4930524B15Rik	protein_coding
gene2572	LOC102639733	N/A
gene25720	LOC102638786	N/A
gene25721	Nsg2	protein_coding
gene25722	Gm12108	lincRNA
gene25723	Gm12109	processed_pseudogene
gene25724	Il9r	protein_coding
gene25725	Snrnp25	protein_coding
gene25726	Rhbdf1	protein_coding
gene25727	Mpg	protein_coding
gene25728	Nprl3	protein_coding
gene25729	Hba-x	protein_coding
gene2573	Dclre1c	protein_coding
gene25730	Hba-a1	protein_coding
gene25731	Hbq1b	protein_coding
gene25732	Hba-a2	protein_coding
gene25733	Hbq1a	protein_coding
gene25734	LOC102639291	N/A
gene25735	Sh3pxd2b	protein_coding
gene25736	Ubtd2	protein_coding
gene25737	Efcab9	protein_coding
gene25738	Stk10	protein_coding
gene25739	Fbxw11	protein_coding
gene2574	Suv39h2	protein_coding
gene25741	LOC102639397	N/A
gene25742	1700008A04Rik	N/A
gene25743	Gm12110	processed_pseudogene
gene25744	LOC102639552	N/A
gene25746	Fgf18	protein_coding
gene25747	Npm1	protein_coding
gene25748	Gm12115	processed_pseudogene
gene25749	Tlx3	protein_coding
gene2575	Hspa14	protein_coding
gene25750	Ranbp17	protein_coding
gene25751	Gm12117	protein_coding
gene25755	LOC102639774	N/A
gene25756	Gabrp	protein_coding
gene25757	D130052B06Rik	protein_coding
gene25758	Kcnip1	protein_coding
gene25759	LOC102640463	N/A
gene2576	Cdnf	protein_coding
gene25760	LOC102640360	N/A
gene25761	LOC102640288	N/A
gene25762	Kcnmb1	protein_coding
gene25763	Lcp2	protein_coding
gene25764	4930469K13Rik	processed_transcript
gene25765	LOC102640638	N/A
gene25766	LOC102631514	N/A
gene25767	LOC102640720	N/A
gene25768	Foxi1	protein_coding
gene25769	Dock2	protein_coding
gene2577	Gm13182	processed_pseudogene
gene25770	LOC102631695	N/A
gene25771	Fam196b	protein_coding
gene25772	LOC102631587	N/A
gene25773	Dock2	protein_coding
gene25774	Spdl1	protein_coding
gene25775	LOC102636115	N/A
gene25776	Slit3	protein_coding
gene25777	LOC102636366	N/A
gene25778	LOC102636287	N/A
gene25779	Mir218-2	miRNA
gene2578	LOC102637907	N/A
gene25780	LOC102636182	N/A
gene25781	Pank3	protein_coding
gene25782	Mir103-1	miRNA
gene25783	Fbll1	protein_coding
gene25784	Rars	protein_coding
gene25785	Wwc1	protein_coding
gene25786	Tenm2	protein_coding
gene25787	LOC102636653	N/A
gene25788	LOC102636549	N/A
gene25789	LOC102636831	N/A
gene2579	Gm13181	processed_pseudogene
gene25790	Gm12128	lincRNA
gene25791	LOC102636985	N/A
gene25793	Gm12130	lincRNA
gene25795	4930553C11Rik	N/A
gene25796	LOC102637057	N/A
gene25797	LOC102637264	N/A
gene25799	LOC102637334	N/A
gene258	LOC102634390	N/A
gene2580	Fam107b	protein_coding
gene25800	LOC102637486	N/A
gene25802	Gm12138	processed_pseudogene
gene25803	Mat2b	protein_coding
gene25804	Hmmr	protein_coding
gene25805	Nudcd2	protein_coding
gene25806	Ccng1	protein_coding
gene25807	Hmgb1-ps1	processed_pseudogene
gene25808	LOC102637596	N/A
gene2581	LOC102639805	N/A
gene25810	Gm12141	processed_pseudogene
gene25811	Gm12142	processed_pseudogene
gene25812	LOC102637814	N/A
gene25813	Gabrg2	protein_coding
gene25814	Gabra1	protein_coding
gene25815	Gabra6	protein_coding
gene25816	LOC102637895	N/A
gene25817	Gabrb2	protein_coding
gene25818	LOC102637962	N/A
gene25819	Atp10b	protein_coding
gene2582	Frmd4a	protein_coding
gene25820	LOC102638041	N/A
gene25821	LOC102638123	N/A
gene25822	Mir146	miRNA
gene25823	Gm5782	N/A
gene25824	Pttg1	protein_coding
gene25825	Slu7	protein_coding
gene25826	LOC102638276	N/A
gene25827	C1qtnf2	protein_coding
gene25828	Ccnjl	protein_coding
gene25829	Fabp6	protein_coding
gene2583	LOC102640098	N/A
gene25831	LOC102633890	N/A
gene25832	LOC102638384	N/A
gene25833	Pwwp2a	protein_coding
gene25834	Ttc1	protein_coding
gene25835	Adra1b	protein_coding
gene25836	LOC102638460	N/A
gene25837	Il12b	protein_coding
gene25838	Ublcp1	protein_coding
gene2584	1700080N15Rik	antisense
gene25840	Rnf145	protein_coding
gene25841	4930597A21Rik	lincRNA
gene25842	Ebf1	protein_coding
gene25843	LOC102638656	N/A
gene25844	Gm12159	lincRNA
gene25846	LOC102638805	N/A
gene25847	LOC102638726	N/A
gene25848	LOC102639039	N/A
gene25849	F630206G17Rik	processed_transcript
gene2585	LOC102639987	N/A
gene25850	Gm12163	processed_pseudogene
gene25851	Gm12164	processed_pseudogene
gene25852	Clint1	protein_coding
gene25853	Lsm11	protein_coding
gene25854	Thg1l	protein_coding
gene25855	LOC102639103	N/A
gene25856	Sox30	protein_coding
gene25857	Gm12165	processed_pseudogene
gene25858	Gm12166	protein_coding
gene25859	Adam19	protein_coding
gene2586	Gm13179	antisense
gene25860	Mir8100	miRNA
gene25861	Nipal4	protein_coding
gene25862	LOC102639275	N/A
gene25863	Mir7239	miRNA
gene25864	Cyfip2	protein_coding
gene25865	Fndc9	protein_coding
gene25867	Itk	protein_coding
gene25868	Gm12167	antisense
gene25869	Fam71b	protein_coding
gene2587	Prpf18	protein_coding
gene25870	Med7	protein_coding
gene25871	Gm12168	processed_pseudogene
gene25872	Havcr2	protein_coding
gene25873	Gm12169	protein_coding
gene25874	Gm12171	lincRNA
gene25875	Rpl9-ps2	processed_pseudogene
gene25876	BC053393	protein_coding
gene25877	LOC102633999	N/A
gene25878	Dppa1	protein_coding
gene25879	Gm4926	lincRNA
gene2588	LOC102640211	N/A
gene25880	Timd2	protein_coding
gene25881	Gm12174	processed_pseudogene
gene25882	Havcr1	protein_coding
gene25883	Timd4	protein_coding
gene25884	Sgcd	protein_coding
gene25885	LOC101055721	N/A
gene25889	Gm12182	processed_pseudogene
gene25891	LOC102639908	N/A
gene25892	Gnb2l1	protein_coding
gene25893	Snord96a	snoRNA
gene25894	Snord95	snoRNA
gene25895	Trim41	protein_coding
gene25896	n-Tv15	N/A
gene25897	n-Tg1	N/A
gene25898	Gm12184	protein_coding
gene25899	Trim7	protein_coding
gene259	LOC102634473	N/A
gene2590	Bend7	protein_coding
gene25900	n-Tk10	N/A
gene25901	n-Ta38	N/A
gene25902	n-Tt16	N/A
gene25903	n-Tp14	N/A
gene25904	n-Tv7	N/A
gene25905	n-Tl6	N/A
gene25906	Irgm1	protein_coding
gene25907	Gm5431	protein_coding
gene25908	Gm12185	protein_coding
gene25909	9930111J21Rik1	protein_coding
gene2591	LOC102640279	N/A
gene25910	Tgtp1	protein_coding
gene25912	9930111J21Rik2	protein_coding
gene25913	Olfr56	protein_coding
gene25914	Tgtp2	protein_coding
gene25916	Ifi47	protein_coding
gene25917	LOC102640062	N/A
gene25918	Olfr1396	protein_coding
gene25919	Olfr1395	protein_coding
gene25920	Olfr1394	protein_coding
gene25921	Btnl9	protein_coding
gene25922	Zfp62	protein_coding
gene25924	Mgat1	protein_coding
gene25925	Olfr1393	protein_coding
gene25926	Olfr1392	protein_coding
gene25927	Olfr10	protein_coding
gene25928	Olfr1391	protein_coding
gene25929	Olfr1390	protein_coding
gene2593	Sephs1	protein_coding
gene25931	LOC102640131	N/A
gene25932	Olfr1389	protein_coding
gene25933	Olfr1388	protein_coding
gene25934	Olfr1387	protein_coding
gene25935	Olfr1386	protein_coding
gene25936	Olfr1385	protein_coding
gene25937	Olfr1384	protein_coding
gene25938	Olfr1383	protein_coding
gene25939	Olfr1382	protein_coding
gene2594	Phyh	protein_coding
gene25940	LOC102634121	N/A
gene25941	Olfr1381	protein_coding
gene25942	Olfr1380	protein_coding
gene25943	Flt4	protein_coding
gene25944	Scgb3a1	protein_coding
gene25945	Cnot6	protein_coding
gene25946	Gm12191	processed_pseudogene
gene25947	Gm12192	processed_pseudogene
gene25948	LOC102640312	N/A
gene25949	LOC102640205	N/A
gene2595	Gm13194	processed_pseudogene
gene25950	LOC102640447	N/A
gene25951	Gfpt2	protein_coding
gene25952	Mapk9	protein_coding
gene25953	Rasgef1c	protein_coding
gene25954	Rnf130	protein_coding
gene25955	Mir340	miRNA
gene25957	Tbc1d9b	protein_coding
gene25958	3010026O09Rik	protein_coding
gene25959	Sqstm1	protein_coding
gene2596	LOC102640490	N/A
gene25960	LOC102640515	N/A
gene25961	Mgat4b	protein_coding
gene25962	Mir6919	miRNA
gene25963	Ltc4s	protein_coding
gene25964	Maml1	protein_coding
gene25965	Canx	protein_coding
gene25966	LOC102634232	N/A
gene25967	Gm12196	processed_pseudogene
gene25968	Cby3	protein_coding
gene25969	Mir804	miRNA
gene2597	LOC102640595	N/A
gene25970	Hnrnph1	protein_coding
gene25971	Rufy1	protein_coding
gene25972	LOC102640703	N/A
gene25973	LOC102640777	N/A
gene25974	Adamts2	protein_coding
gene25975	Zfp354c	protein_coding
gene25976	Zfp879	protein_coding
gene25977	Grm6	protein_coding
gene25978	Zfp454	protein_coding
gene25979	Zfp2	protein_coding
gene2598	Gm13192	processed_pseudogene
gene25980	Zfp354b	protein_coding
gene25981	Prop1	protein_coding
gene25983	Olfr1378	protein_coding
gene25985	Olfr1377	protein_coding
gene25986	Olfr1376-ps1	unprocessed_pseudogene
gene25987	Olfr51	protein_coding
gene25988	Olfr54	protein_coding
gene25989	LOC102640999	N/A
gene2599	Ucma	protein_coding
gene25991	Zfp354a	protein_coding
gene25992	9230009I02Rik	lincRNA
gene25996	LOC102631643	N/A
gene25997	5133400J02Rik	lincRNA
gene25998	Gm12569	antisense
gene25999	BC049762	protein_coding
gene260	LOC102634543	N/A
gene2600	Mcm10	protein_coding
gene26000	Clk4	protein_coding
gene26001	Col23a1	protein_coding
gene26002	Phykpl	protein_coding
gene26003	Hnrnpab	protein_coding
gene26004	Nhp2	protein_coding
gene26005	Rmnd5b	protein_coding
gene26006	N4bp3	protein_coding
gene26007	D930048N14Rik	protein_coding
gene26008	LOC102631817	N/A
gene26009	0610009B22Rik	protein_coding
gene2601	Optn	protein_coding
gene26010	Sec24a	protein_coding
gene26011	Sar1b	protein_coding
gene26012	Jade2	protein_coding
gene26013	LOC102631890	N/A
gene26014	Cdkn2aipnl	protein_coding
gene26015	Ube2b	protein_coding
gene26016	Cdkl3	protein_coding
gene26017	Ppp2ca	protein_coding
gene26018	LOC102632600	N/A
gene26019	Mir3061	miRNA
gene2602	Ccdc3	protein_coding
gene26020	Olfr1373	protein_coding
gene26021	Olfr1372-ps1	processed_pseudogene
gene26022	Olfr1371	protein_coding
gene26023	Skp1a	protein_coding
gene26024	Tcf7	protein_coding
gene26025	LOC102632042	N/A
gene26026	LOC102632121	N/A
gene26027	Vdac1	protein_coding
gene26028	9530068E07Rik	protein_coding
gene26029	LOC102632232	N/A
gene2603	LOC102637671	N/A
gene26030	LOC102632379	N/A
gene26031	Fstl4	protein_coding
gene26032	Gm11186	antisense
gene26033	Gm11189	processed_pseudogene
gene26034	Hspa4	protein_coding
gene26035	LOC102632458	N/A
gene26036	Zcchc10	protein_coding
gene26037	Aff4	protein_coding
gene26038	LOC102634471	N/A
gene26039	Mir6920	N/A
gene2604	LOC102640711	N/A
gene26040	Leap2	protein_coding
gene26041	Uqcrq	protein_coding
gene26042	Gdf9	protein_coding
gene26043	LOC102632534	N/A
gene26044	Shroom1	protein_coding
gene26045	Sowaha	protein_coding
gene26046	Gm19835	N/A
gene26047	Rpl9-ps3	processed_pseudogene
gene26048	Sept8	protein_coding
gene2605	Gm13197	processed_pseudogene
gene26050	A430108G06Rik	processed_transcript
gene26051	Kif3a	protein_coding
gene26052	Il4	protein_coding
gene26053	Il13	protein_coding
gene26055	Rad50	protein_coding
gene26056	Il5	protein_coding
gene26057	Mir7671	miRNA
gene26058	Irf1	protein_coding
gene26059	Gm12216	protein_coding
gene2606	Camk1d	protein_coding
gene26060	LOC102632807	N/A
gene26061	Slc22a5	protein_coding
gene26062	LOC102632883	N/A
gene26064	Slc22a21	protein_coding
gene26065	LOC102633183	N/A
gene26066	LOC102632992	N/A
gene26067	Slc22a4	protein_coding
gene26068	Pdlim4	protein_coding
gene26069	P4ha2	protein_coding
gene2607	LOC102640968	N/A
gene26070	LOC102633420	N/A
gene26073	4933405E24Rik	lincRNA
gene26074	Gm12222	processed_pseudogene
gene26075	Csf2	protein_coding
gene26076	Il3	protein_coding
gene26077	Acsl6	protein_coding
gene26078	4930404A10Rik	N/A
gene2608	LOC102640897	N/A
gene26080	Gm12226	processed_pseudogene
gene26081	Fnip1	protein_coding
gene26082	Rapgef6	protein_coding
gene26083	Cdc42se2	protein_coding
gene26084	Lyrm7os	antisense
gene26085	Lyrm7	protein_coding
gene26087	LOC102633737	N/A
gene26088	Hint1	protein_coding
gene26089	Gpx3	protein_coding
gene2609	Gm13216	processed_pseudogene
gene26090	Tnip1	protein_coding
gene26091	LOC102633817	N/A
gene26092	Anxa6	protein_coding
gene26093	LOC102633930	N/A
gene26094	Ccdc69	protein_coding
gene26095	Gm2a	protein_coding
gene26097	Slc36a3	protein_coding
gene26098	LOC102634079	N/A
gene26099	LOC102633998	N/A
gene261	4931428L18Rik	protein_coding
gene2610	LOC102631546	N/A
gene26100	Slc36a2	protein_coding
gene26101	Slc36a1os	antisense
gene26102	Slc36a1	protein_coding
gene26103	Fat2	protein_coding
gene26104	LOC102632725	N/A
gene26105	LOC102634201	N/A
gene26106	Sparc	protein_coding
gene26107	Atox1	protein_coding
gene26108	LOC102634427	N/A
gene26109	LOC102634307	N/A
gene2611	Cdc123	protein_coding
gene26110	G3bp1	protein_coding
gene26111	Gm12238	sense_intronic
gene26112	Mir7652	miRNA
gene26113	Glra1	protein_coding
gene26114	LOC102634539	N/A
gene26115	LOC102634626	N/A
gene26116	Nmur2	protein_coding
gene26117	LOC102635072	N/A
gene26119	LOC102635264	N/A
gene2612	LOC102631714	N/A
gene26120	LOC102635343	N/A
gene26121	LOC102635452	N/A
gene26122	Gria1	protein_coding
gene26124	Fam114a2	protein_coding
gene26125	Mfap3	protein_coding
gene26126	Galnt10	protein_coding
gene26127	LOC102635527	N/A
gene26128	Sap30l	protein_coding
gene26129	Hand1	protein_coding
gene2613	Nudt5	protein_coding
gene26130	LOC102634579	N/A
gene26131	LOC102635627	N/A
gene26132	LOC102635774	N/A
gene26133	LOC102635837	N/A
gene26134	Gm12245	processed_pseudogene
gene26135	Larp1	protein_coding
gene26136	Gm12248	unprocessed_pseudogene
gene26137	Cnot8	protein_coding
