#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene10262	4933438K21Rik	antisense
gene10263	Gm13160	processed_pseudogene
gene10266	Gm13139	protein_coding
gene10268	LOC102631726	N/A
gene10269	LOC102631585	N/A
gene1027	B3gnt7	protein_coding
gene10270	LOC102640977	N/A
gene10271	Gm13135	processed_pseudogene
gene10272	Gm13144	processed_pseudogene
gene10273	LOC102638055	N/A
gene10274	Gm13154	protein_coding
gene10276	LOC102640787	N/A
gene10279	Gm13152	protein_coding
gene1028	Gm5258	processed_pseudogene
gene10281	LOC102640679	N/A
gene10282	2610305D13Rik	protein_coding
gene10283	LOC102634327	N/A
gene10285	Zfp534	protein_coding
gene10286	Gm13137	processed_pseudogene
gene10287	Gm13136	processed_pseudogene
gene10288	Gm13148	processed_pseudogene
gene10289	Gm13157	protein_coding
gene1029	Ncl	protein_coding
gene10290	Rps19-ps3	processed_pseudogene
gene10291	Zfp933	protein_coding
gene10292	Miip	protein_coding
gene10293	Fv1	protein_coding
gene10294	Mfn2	protein_coding
gene10295	Plod1	protein_coding
gene10296	2510039O18Rik	protein_coding
gene10297	Nppb	protein_coding
gene10298	Nppa	protein_coding
gene10299	Clcn6	protein_coding
gene103	LOC102633349	N/A
gene1030	Snora75	snoRNA
gene10301	Mthfr	protein_coding
gene10302	LOC102634746	N/A
gene10303	Gm13202	processed_pseudogene
gene10304	Agtrap	protein_coding
gene10305	Draxin	protein_coding
gene10306	Mad2l2	protein_coding
gene10307	Fbxo6	protein_coding
gene10308	Mir7022	miRNA
gene10309	Fbxo44	protein_coding
gene1031	Mir3535	N/A
gene10310	Fbxo2	protein_coding
gene10311	LOC102635206	N/A
gene10312	Ptchd2	protein_coding
gene10313	Ubiad1	protein_coding
gene10314	Mtor	protein_coding
gene10315	LOC102635313	N/A
gene10316	Angptl7	protein_coding
gene10317	Exosc10	protein_coding
gene10318	LOC102635394	N/A
gene10319	Srm	protein_coding
gene1032	Snord82	snoRNA
